Id,Choice
1,0.481903046
2,0.363286436
3,0.497489423
4,0.607399344
5,0.327359229
6,0.330294073
7,0.527831137
8,0.746560156
9,0.442578137
10,0.588764787
11,0.454336643
12,0.432955444
13,0.665152967
14,0.376892477
15,0.509398937
16,0.078987613
17,0.699608266
18,0.380949289
19,0.565673172
20,0.441130012
21,0.533541441
22,0.374964237
23,0.517983079
24,0.686755121
25,0.439348251
26,0.385258526
27,0.395615965
28,0.446710646
29,0.494539917
30,0.473089695
31,0.329285264
32,0.658948183
33,0.067563638
34,0.954890549
35,0.522917747
36,0.440875441
37,0.321954131
38,0.441334218
39,0.55101645
40,0.512215078
41,0.370008618
42,0.446733445
43,0.3393718
44,0.570207
45,0.325898141
46,0.627928436
47,0.687684
48,0.480348259
49,0.432843059
50,0.65785259
51,0.44192782
52,0.423997015
53,0.300818384
54,0.5109635
55,0.598294258
56,0.50178206
57,0.315884858
58,0.39557153
59,0.347143948
60,0.621388018
61,0.056793153
62,0.508650899
63,0.228616312
64,0.514306247
65,0.625968933
66,0.314559907
67,0.447963536
68,0.507811427
69,0.115066878
70,0.561364949
71,0.902506948
72,0.670164764
73,0.502364218
74,0.514960647
75,0.521795213
76,0.49406454
77,0.559841454
78,0.877302289
79,0.248705357
80,0.44296205
81,0.496872604
82,0.329485297
83,0.070071854
84,0.502825379
85,0.096953332
86,0.670821011
87,0.481109381
88,0.440963715
89,0.517492294
90,0.456376553
91,0.513754606
92,0.415336281
93,0.388105959
94,0.501730025
95,0.46248582
96,0.670211494
97,0.854033291
98,0.119966172
99,0.626373768
100,0.407731354
101,0.580224991
102,0.695562422
103,0.506210923
104,0.414206892
105,0.571938157
106,0.513020158
107,0.476977438
108,0.525786281
109,0.33508274
110,0.493568122
111,0.59395504
112,0.596004605
113,0.519881189
114,0.492320001
115,0.632110298
116,0.536255658
117,0.929005861
118,0.667343736
119,0.727765322
120,0.491675466
121,0.553993523
122,0.526407123
123,0.456337512
124,0.537447155
125,0.159108371
126,0.51443392
127,0.525456667
128,0.466008514
129,0.489087701
130,0.586485684
131,0.463365078
132,0.48995164
133,0.081497729
134,0.453843415
135,0.29782185
136,0.556531489
137,0.599408746
138,0.417907655
139,0.523615897
140,0.606378078
141,0.797318697
142,0.518379629
143,0.384813964
144,0.583241165
145,0.498414248
146,0.431503356
147,0.511829078
148,0.433497995
149,0.309826732
150,0.436316103
151,0.366515756
152,0.406996012
153,0.384323984
154,0.736110628
155,0.08172328
156,0.525816858
157,0.575772703
158,0.573885858
159,0.855861306
160,0.46106106
161,0.436641097
162,0.502088428
163,0.690802217
164,0.949040115
165,0.664756
166,0.001582107
167,0.53882885
168,0.681349814
169,0.537648737
170,0.49385193
171,0.452816874
172,0.526785195
173,0.444687635
174,0.526024461
175,0.479631305
176,0.074354135
177,0.229197666
178,0.516171575
179,0.568270504
180,0.575072587
181,0.252546906
182,0.331461877
183,0.534433067
184,0.478051424
185,0.393128872
186,0.57745105
187,0.482860327
188,0.496482998
189,0.756812871
190,0.521369338
191,0.572012603
192,0.566654444
193,0.325919509
194,0.653202415
195,0.537140369
196,0.575292051
197,0.509949863
198,0.737263203
199,0.629167616
200,0.536665261
201,0.661936343
202,0.696292937
203,0.421254575
204,0.36542064
205,0.681757033
206,0.393304765
207,0.934549153
208,0.433762252
209,0.328187048
210,0.403108776
211,0.674771428
212,0.626237512
213,0.565844834
214,0.72527653
215,0.579111755
216,0.248705357
217,0.662970364
218,0.487440854
219,0.491053879
220,0.48602283
221,0.658934832
222,0.587635815
223,0.510731161
224,0.545735836
225,0.230835661
226,0.459428817
227,0.666874349
228,0.336698771
229,0.603142262
230,0.474735141
231,0.472742289
232,0.483378053
233,0.500417292
234,0.604759097
235,0.465102851
236,0.502789319
237,0.548480332
238,0.557557702
239,0.683256924
240,0.670252681
241,0.64211452
242,0.54716593
243,0.442715675
244,0.421695322
245,0.407696635
246,0.849980175
247,0.272188395
248,0.55835706
249,0.950504839
250,0.486026853
251,0.417236924
252,0.571786165
253,0.528424203
254,0.476848423
255,0.353529215
256,0.468665302
257,0.307733804
258,0.476948857
259,0.51877892
260,0.77276963
261,0.411780059
262,0.734710515
263,0.612374365
264,0.678881228
265,0.558293045
266,0.584886312
267,0.497434139
268,0.434679449
269,0.467432976
270,0.615780771
271,0.932518601
272,0.65776515
273,0.632081091
274,0.445321172
275,0.586673737
276,0.59148556
277,0.566050708
278,0.70565635
279,0.624374807
280,0.478979975
281,0.31591472
282,0.922840238
283,0.399867982
284,0.152640596
285,0.499683201
286,0.600728273
287,0.399436802
288,0.32227686
289,0.231996611
290,0.42791456
291,0.591326594
292,0.751901567
293,0.640820503
294,0.13526912
295,0.630214095
296,0.307130247
297,0.691102326
298,0.733048439
299,0.645103633
300,0.545832992
301,0.454055935
302,0.096953332
303,0.503672123
304,0.667674124
305,0.539800465
306,0.395827502
307,0.372559696
308,0.487244606
309,0.358118653
310,0.23873958
311,0.416694939
312,0.442635119
313,0.346343458
314,0.190053135
315,0.487443328
316,0.732549131
317,0.699201405
318,0.735444665
319,0.336985201
320,0.423766464
321,0.490866393
322,0.522111595
323,0.326166004
324,0.527527571
325,0.594310403
326,0.133941621
327,0.453469872
328,0.610938549
329,0.696885884
330,0.447963536
331,0.326609313
332,0.325898141
333,0.642710507
334,0.335291296
335,0.944325686
336,0.569103599
337,0.430324078
338,0.480122358
339,0.559388697
340,0.506935835
341,0.651650488
342,0.524272084
343,0.072548926
344,0.560786605
345,0.594887853
346,0.388957024
347,0.561193943
348,0.522464454
349,0.681151927
350,0.463865101
351,0.56187433
