Column 0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,Scored Labels,Scored Probabilities
1,0.447704662539953,-0.113031704478427,0.131240211363923,-0.127110770143796,0.468266466783374,-0.0801275691154896,0.0669829199744629,0.371886278027827,0.300250032864978,0.16670560986617,0.0241530771722029,0,0.473513275384903
2,-0.110344492317859,0.782146493102272,2.73625172162808,0.418315320972466,0.196970740742826,-0.445485533556441,-0.744530198576602,-0.366518042301565,-0.00128674844242333,0.0441207134544786,0.0056921334939756,0,0.327045738697052
3,0.214553809626716,-0.0419321173377781,-0.00725205684850193,-0.0347466512110041,0.119173135399616,-0.146757825370952,0.00479400814775006,0.126577181053782,0.0160086705809835,0.0349460258394382,0.00243682552833661,0,0.49273619055748
4,-0.130930820551702,-0.786795198136383,0.734571772925824,-0.08684400348561,-0.109671807253027,-0.287097409456058,0.433513849550314,-0.0857024369119467,0.0229393119609909,0.0561806469120126,0.0130981680145903,1,0.567510664463043
5,-0.102988231865227,4.27611889703922,0.295207305064412,-2.61575710367934,-2.33368241550299,-3.59704130391328,0.638481798456353,2.40630394928534,0.590176267663783,-0.33378134247248,0.327421283503162,0,0.0745810568332672
6,0.142197682278646,1.2069609044708,0.134634020865072,0.225235059783624,0.134202726576494,0.270286620321422,-0.443398421478837,-0.394370525594894,0.00192553198681902,0.00548147587021237,-0.00944055986441212,0,0.374700754880905
7,-4.86484167318079,0.932222620923554,0.360640853633052,-0.446087452009652,0.812646800798995,0.404574623428575,0.314620681123596,0.0438670689158296,2.90085881171398,-1.03548109826916,0.268326337281818,0,0.362800031900406
8,-0.317286316588989,-1.03013416127298,-0.702689902821902,-0.565362422224967,-1.08298034534335,-1.6129092675778,0.203699077646625,0.452533248429908,0.133793109681655,-0.0438935756562228,0.0238046559452164,1,0.617459356784821
9,0.985020185925304,-0.025363324208286,0.128803854265211,-0.57604393502703,0.676846347253398,-0.166888315699646,0.115692768526512,-0.040825616310044,-0.168442199535592,0.169467854070492,0.123594328574644,0,0.436870247125626
10,-0.541160650223402,-1.06909435636464,0.816265810062646,0.312326354857068,0.30278205224021,0.655175218186708,0.361861240824021,0.431717352280814,-0.189703562881312,-0.155851695738931,-0.0237002314306924,1,0.618625283241272
11,0.942396521653526,-0.0913907991067507,0.135605220661344,-0.442525885672662,0.910676907554869,-0.341574150345835,0.202639350436063,-0.0676503251609116,0.435187862479665,0.21830131846389,0.0345461547671236,0,0.429786086082459
12,-0.464778549941814,0.00156706459641706,0.240365614757648,0.506302510728076,0.380170758903535,1.22508533283256,-0.0449085948085304,0.012326288649967,-0.313181674482572,-0.217246588593165,-0.0480549510316765,1,0.540881991386414
13,0.0171311995688885,-0.64620871186786,-2.61672909638178,-0.322091977369141,-0.57863177014548,-0.105445801818793,0.892643334046147,0.442741112208821,0.163873877567533,0.0380049909412468,0.0168260244402399,1,0.663935363292694
14,0.40627556683014,0.674041033638794,-0.455479406273983,-0.0118132008313992,0.499834453535137,0.293262256989764,-0.0700266505966932,-0.0313959521354753,-0.0624402615522517,-0.072822725651394,-0.00317860566162324,0,0.420753955841064
15,0.0153380219622249,0.046129574982627,-0.815775287957108,0.145361281533248,-0.0308286694540248,-0.063795625271087,0.0276385443011719,-0.122610845767961,0.0283455478038604,-0.0138004846783634,-0.000349600053967938,1,0.52762359380722
16,0.453017447973218,5.01959630552846,-0.301130692235751,0.832550767505653,-0.172005004817326,0.930615863960145,0.610395137886615,-1.3619140178253,-0.276472581224027,-0.114332231969115,-0.0491125909713143,0,0.124702781438828
17,-2.94640204691589,-0.400887608316522,-0.205179640988143,0.761961230599113,-1.91646690558439,0.668938251982256,-0.335317408744948,0.168777243780469,0.302886554161189,-0.227944255873135,0.192609050397039,1,0.708983838558197
18,0.107022414827841,0.762226187959215,1.23889799030288,0.756311619606112,0.427353180315619,-0.11337845700924,0.489876800587977,-0.51879505308907,0.0321463378596926,0.0695669492794921,0.00973895752990354,0,0.382730752229691
19,-0.220655626502717,-0.354096385985042,-0.28565769279948,-0.0372089315321636,-0.239758046682734,-0.00939257814839785,0.169786464000327,0.0722340502554611,-0.107190778293498,-0.0837428844802509,-0.0106779386332357,1,0.564960598945618
