Id,Choice
1,1
2,1
3,1
4,1
5,1
6,1
7,0
8,0
9,1
10,0
11,1
12,0
13,0
14,1
15,0
16,0
17,0
18,1
19,0
20,1
21,0
22,1
23,0
24,0
25,1
26,1
27,1
28,1
29,1
30,0
31,1
32,0
33,0
34,0
35,1
36,0
37,1
38,1
39,0
40,1
41,0
42,1
43,1
44,0
45,1
46,0
47,0
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,1
62,0
63,1
64,1
65,0
66,1
67,1
68,1
69,0
70,0
71,0
72,1
73,1
74,1
75,1
76,0
77,0
78,1
79,1
80,1
81,1
82,1
83,1
84,0
85,0
86,0
87,1
88,1
89,0
90,0
91,1
92,1
93,0
94,0
95,1
96,0
97,0
98,0
99,0
100,0
101,1
102,0
103,0
104,1
105,1
106,0
107,1
108,1
109,1
110,0
111,1
112,1
113,0
114,1
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,1
124,1
125,0
126,0
127,0
128,1
129,1
130,0
131,1
132,1
133,1
134,0
135,1
136,0
137,0
138,1
139,0
140,0
141,0
142,0
143,1
144,0
145,1
146,1
147,1
148,1
149,0
150,0
151,1
152,1
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,1
161,1
162,1
163,0
164,1
165,1
166,0
167,0
168,0
169,1
170,1
171,0
172,1
173,1
174,0
175,1
176,1
177,1
178,0
179,0
180,0
181,1
182,0
183,0
184,1
185,1
186,0
187,1
188,1
189,1
190,0
191,0
192,0
193,1
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,1
205,0
206,1
207,1
208,1
209,1
210,1
211,0
212,1
213,0
214,0
215,0
216,1
217,0
218,0
219,0
220,1
221,0
222,0
223,1
224,1
225,1
226,1
227,0
228,1
229,0
230,0
231,1
232,1
233,1
234,0
235,0
236,1
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,1
246,0
247,1
248,0
249,0
250,1
251,0
252,0
253,0
254,1
255,1
256,1
257,1
258,1
259,1
260,0
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,1
272,0
273,0
274,1
275,0
276,1
277,0
278,0
279,1
280,1
281,1
282,0
283,1
284,0
285,0
286,0
287,0
288,0
289,0
290,1
291,0
292,0
293,0
294,1
295,0
296,1
297,0
298,0
299,0
300,0
301,1
302,0
303,1
304,1
305,0
306,1
307,1
308,0
309,0
310,1
311,1
312,1
313,1
314,0
315,0
316,0
317,0
318,1
319,0
320,0
321,0
322,0
323,1
324,0
325,0
326,1
327,1
328,0
329,0
330,1
331,0
332,1
333,0
334,1
335,0
336,0
337,1
338,0
339,0
340,0
341,0
342,0
343,0
344,1
345,1
346,1
347,0
348,1
349,1
350,1
351,0
352,1
353,1
354,1
355,1
356,0
357,0
358,0
359,1
360,0
361,1
362,0
363,0
364,1
365,0
366,1
367,1
368,0
369,0
370,0
371,1
372,1
373,0
374,1
375,0
376,0
377,0
378,1
379,1
380,1
381,1
382,0
383,0
384,0
385,1
386,0
387,1
388,1
389,1
390,0
391,0
392,1
393,1
394,1
395,1
396,1
397,0
398,0
399,0
400,1
401,0
402,0
403,1
404,1
405,0
406,0
407,1
408,0
409,0
410,1
411,1
412,0
413,1
414,0
415,0
416,1
417,1
418,1
419,0
420,0
421,1
422,0
423,0
424,1
425,1
426,0
427,0
428,1
429,0
430,0
431,1
432,1
433,0
434,1
435,0
436,0
437,0
438,1
439,1
440,0
441,0
442,0
443,1
444,1
445,0
446,0
447,1
448,0
449,1
450,0
451,1
452,0
453,0
454,1
455,0
456,1
457,1
458,1
459,1
460,1
461,0
462,0
463,0
464,1
465,1
466,1
467,1
468,0
469,0
470,0
471,1
472,0
473,0
474,1
475,1
476,1
477,0
478,0
479,0
480,0
481,0
482,0
483,1
484,0
485,0
486,1
487,1
488,1
489,0
490,0
491,1
492,1
493,0
494,1
495,0
496,0
497,0
498,0
499,0
500,0
501,1
502,1
503,1
504,0
505,0
506,0
507,1
508,0
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,0
519,0
520,1
521,0
522,0
523,0
524,1
525,0
526,1
527,0
528,0
529,0
530,1
531,0
532,0
533,1
534,0
535,1
536,0
537,0
538,0
539,1
540,1
541,1
542,0
543,0
544,0
545,0
546,1
547,0
548,1
549,0
550,1
551,1
552,1
553,1
554,0
555,0
556,1
557,0
558,0
559,0
560,1
561,0
562,1
563,0
564,1
565,0
566,1
567,0
568,0
569,1
570,0
571,0
572,1
573,0
574,1
575,0
576,1
577,1
578,0
579,1
580,0
581,0
582,0
583,0
584,1
585,1
586,0
587,0
588,1
589,1
590,1
591,0
592,0
593,1
594,0
595,0
596,0
597,0
598,0
599,1
600,0
601,1
